# Loss,rewards
3.740949034690856934e-01,8.491125934308453305e-01
3.718142807483673096e-01,8.304142249315472624e-01
3.740506768226623535e-01,7.172524258958228316e-01
3.739196062088012695e-01,7.022721146951106386e-01
3.577221930027008057e-01,7.333333333333333925e-01
3.667022287845611572e-01,7.333692906993306559e-01
3.636945486068725586e-01,8.491135495939093891e-01
3.602886199951171875e-01,7.485801116618236994e-01
3.869289159774780273e-01,7.353411395347926316e-01
3.764717578887939453e-01,7.000000000000000666e-01
3.646104037761688232e-01,1.491414328700562952e-01
3.829900622367858887e-01,9.824417009602194328e-01
3.781610131263732910e-01,8.819127617176695244e-01
3.678754866123199463e-01,8.347087969264718188e-01
3.854477405548095703e-01,7.178211126677482845e-01
3.795732557773590088e-01,7.023470147283136233e-01
3.916936814785003662e-01,8.160841069872630804e-01
3.990863859653472900e-01,7.152867959834284806e-01
4.006314277648925781e-01,8.177881103078347147e-01
3.786872625350952148e-01,8.312862257744200178e-01
3.890672922134399414e-01,9.488387896767411789e-01
3.909576237201690674e-01,9.643189627009151055e-01
3.852699100971221924e-01,0.000000000000000000e+00
3.989385664463043213e-01,9.491083676268861069e-01
3.868201971054077148e-01,8.485794283843360875e-01
3.944883644580841064e-01,8.353410495540415370e-01
3.979912996292114258e-01,6.666666666666665186e-02
4.025608897209167480e-01,8.666666666666666963e-01
3.879074752330780029e-01,7.508916323731139597e-01
4.068435132503509521e-01,7.356455373221110206e-01
4.369286298751831055e-01,8.494128553949557014e-01
4.366189837455749512e-01,9.801695941260847311e-01
4.264414310455322266e-01,9.635944148020220146e-01
4.267272949218750000e-01,9.663226723612582392e-01
4.572367668151855469e-01,9.666213807955749138e-01
4.537244439125061035e-01,3.333333333333336063e-02
4.455347657203674316e-01,7.508916323731139597e-01
4.820437729358673096e-01,7.014220383896550004e-01
4.629215598106384277e-01,7.003009842373032479e-01
4.661103487014770508e-01,7.000400835875809635e-01
4.582404494285583496e-01,6.666666666666666297e-01
4.703202843666076660e-01,7.824406462871241752e-01
5.014498233795166016e-01,9.134629211293997519e-01
4.909760653972625732e-01,0.000000000000000000e+00
4.998789429664611816e-01,8.333333333333333703e-01
5.121525526046752930e-01,9.491083676268861069e-01
5.567544102668762207e-01,9.643544626778890461e-01
5.047050714492797852e-01,9.663621788985971017e-01
4.517714977264404297e-01,9.994880707786825136e-01
5.639306306838989258e-01,9.662035206265017218e-01
5.248751044273376465e-01,8.508906400388142055e-01
5.497251749038696289e-01,8.683458022192868109e-01
5.648613572120666504e-01,6.666666666666665186e-02
5.759522318840026855e-01,9.491083676268861069e-01
6.072975397109985352e-01,9.643544626778890461e-01
6.000386476516723633e-01,9.663621788985971017e-01
4.989658892154693604e-01,9.666265695120236368e-01
5.580642223358154297e-01,9.666613863829276454e-01
5.429700016975402832e-01,9.666659713206599003e-01
6.401214003562927246e-01,9.666665750984680949e-01
5.192832946777343750e-01,3.333333333333336063e-02
5.780726671218872070e-01,7.508916323731139597e-01
4.151028394699096680e-01,8.514205716156638681e-01
5.225055813789367676e-01,7.488839161524056820e-01
5.608543157577514648e-01,7.353811467086844855e-01
4.911680817604064941e-01,7.336030042304989562e-01
4.662765562534332275e-01,7.333688455502440640e-01
4.682437181472778320e-01,7.000000000000000666e-01
5.203068256378173828e-01,6.666666666666666297e-01
5.478705167770385742e-01,6.666666666666666297e-01
5.056513547897338867e-01,6.666666666666666297e-01
4.321074783802032471e-01,6.666666680149639923e-01
5.920484066009521484e-01,7.000000000000000666e-01
4.247771501541137695e-01,8.157732852780674726e-01
4.604961276054382324e-01,8.310211275415029242e-01
5.846804380416870117e-01,7.990752146686279644e-01
4.416388869285583496e-01,6.841833363356960573e-01
4.907028079032897949e-01,6.689735844166614376e-01
4.894889295101165771e-01,7.000000000000000666e-01
3.566417694091796875e-01,7.333333333333333925e-01
4.728624820709228516e-01,8.491116638191918975e-01
5.280494093894958496e-01,8.643551543995435793e-01
5.502271056175231934e-01,8.663622702556824651e-01
3.321525454521179199e-01,9.824016158364022866e-01
4.675076901912689209e-01,9.638870732584834400e-01
4.414866566658020020e-01,9.663613782174585998e-01
4.308087825775146484e-01,8.508514436769374356e-01
3.674914836883544922e-01,8.683398106427517860e-01
3.927279114723205566e-01,7.511938404503565314e-01
2.783074378967285156e-01,7.356855365453949247e-01
3.916624188423156738e-01,7.336430892753941224e-01
2.876236736774444580e-01,7.333741242423328366e-01
3.866117000579833984e-01,7.333387049756824316e-01
3.502717018127441406e-01,7.000000000000000666e-01
3.007983863353729248e-01,7.000000000000000666e-01
2.922715544700622559e-01,7.333333333333333925e-01
3.983993530273437500e-01,8.491066335266271858e-01
2.104316502809524536e-01,7.485794249438645354e-01
2.908709049224853516e-01,7.353410495679192360e-01
3.663384914398193359e-01,8.493727582439737356e-01
3.166281580924987793e-01,8.643892795492787995e-01
3.387452960014343262e-01,8.660447183419508477e-01
2.555268406867980957e-01,8.327539729717544637e-01
3.177343010902404785e-01,7.993352683997244634e-01
3.607125282287597656e-01,7.999991778877819648e-01
4.364607334136962891e-01,9.157750339536262496e-01
3.551083505153656006e-01,9.310211293445540548e-01
4.546060860157012939e-01,9.330288455652637758e-01
3.028724789619445801e-01,8.175182018851376853e-01
3.159255385398864746e-01,8.350064904658074383e-01
3.169744908809661865e-01,9.494118143613631267e-01
1.629393398761749268e-01,1.691723403979662199e-01
2.803080081939697266e-01,8.333333333333333703e-01
2.803238332271575928e-01,7.175582990397805228e-01
3.780487775802612305e-01,7.023122039887778056e-01
3.233503103256225586e-01,6.666666666666666297e-01
2.266713082790374756e-01,7.824800443048404164e-01
2.459583580493927002e-01,3.333333333333336063e-02
2.746384441852569580e-01,9.824417009602194328e-01
3.679186105728149414e-01,9.976877960112222610e-01
3.370895385742187500e-01,9.996955122319305387e-01
1.937377452850341797e-01,9.999599028453571847e-01
2.438364326953887939e-01,9.999947197162611934e-01
2.670712471008300781e-01,9.661939729393904663e-01
2.674165368080139160e-01,9.666664630361018196e-01
2.848910987377166748e-01,9.666666546075660671e-01
4.249919652938842773e-01,0.000000000000000000e+00
4.041770994663238525e-01,7.508916323731139597e-01
3.115307688713073730e-01,7.356455373221110206e-01
2.933236360549926758e-01,7.000000000000000666e-01
2.743506729602813721e-01,8.158133776381738533e-01
