# returns,episode_length
5.217610784887921405e+00,7.000000000000000000e+00
3.082786285882931576e+00,5.000000000000000000e+00
4.012640986066761783e+00,5.000000000000000000e+00
2.478151611899546580e+01,3.000000000000000000e+01
1.666359768800248053e+00,3.000000000000000000e+00
1.384360009522525203e+01,1.800000000000000000e+01
1.518533853826820135e+01,1.700000000000000000e+01
2.180129496971441760e+00,3.000000000000000000e+00
5.301346672580589114e+00,7.000000000000000000e+00
2.079507214392525061e+00,3.000000000000000000e+00
3.879784912048728884e+00,5.000000000000000000e+00
1.183465534383157269e+01,1.400000000000000000e+01
2.018315462896294932e+00,3.000000000000000000e+00
3.012840547725858631e+00,4.000000000000000000e+00
6.078731570894028380e+00,8.000000000000000000e+00
2.978905846418021586e+00,4.000000000000000000e+00
2.666043942791861632e+00,4.000000000000000000e+00
7.277838983693874830e+00,9.000000000000000000e+00
5.046446298431656707e+00,6.000000000000000000e+00
2.996298689607043819e+00,4.000000000000000000e+00
6.765207659348005720e+00,1.000000000000000000e+01
5.885974298488476641e+00,7.000000000000000000e+00
1.611109667392288713e+01,1.800000000000000000e+01
1.758338443310013943e+01,2.500000000000000000e+01
4.612647419750347311e+00,6.000000000000000000e+00
1.484497879757780225e+01,1.900000000000000000e+01
1.819667056173686071e+00,3.000000000000000000e+00
1.051170560793429587e+01,1.200000000000000000e+01
5.666365234579269661e+00,8.000000000000000000e+00
2.614321886557299379e+01,3.000000000000000000e+01
4.899384232090841174e+00,7.000000000000000000e+00
4.630054261842909469e+00,6.000000000000000000e+00
3.012696103475125398e+00,4.000000000000000000e+00
2.715152751718595603e+00,4.000000000000000000e+00
1.880129496971442160e+00,3.000000000000000000e+00
1.913462830304775153e+00,3.000000000000000000e+00
3.848758502420435157e+00,5.000000000000000000e+00
5.712177935105037463e+00,7.000000000000000000e+00
3.579830289487111461e+00,5.000000000000000000e+00
6.112650030689837699e+00,7.000000000000000000e+00
8.545973384877017409e+00,1.000000000000000000e+01
2.085968088182362123e+00,3.000000000000000000e+00
1.373221873126030701e+01,1.800000000000000000e+01
6.779819033573626363e+00,8.000000000000000000e+00
1.846796163638108723e+00,3.000000000000000000e+00
4.784873951278775905e+00,7.000000000000000000e+00
5.513159129450910356e+00,7.000000000000000000e+00
1.256457835118877853e+01,1.700000000000000000e+01
1.915152751718595558e+00,3.000000000000000000e+00
7.978848951404550860e+00,9.000000000000000000e+00
5.046446298431656707e+00,6.000000000000000000e+00
1.136640755592926944e+01,1.500000000000000000e+01
9.746452260442643123e+00,1.200000000000000000e+01
1.979667363468284202e+00,3.000000000000000000e+00
4.881629596691376527e+00,6.000000000000000000e+00
1.081345674922388511e+01,1.300000000000000000e+01
6.365845759390952097e+00,8.000000000000000000e+00
9.111738380884828459e+00,1.100000000000000000e+01
1.213000696801617595e+00,2.000000000000000000e+00
7.648803080886247052e+00,9.000000000000000000e+00
5.446446298431657063e+00,7.000000000000000000e+00
2.399999999999999911e+00,4.000000000000000000e+00
3.499192997904604141e+00,5.000000000000000000e+00
4.163731739262008347e+00,6.000000000000000000e+00
9.479317287278897552e+00,1.100000000000000000e+01
5.514802886508167745e+00,7.000000000000000000e+00
5.446750090853720749e+00,7.000000000000000000e+00
1.274679510894758749e+01,1.700000000000000000e+01
3.517105891322524602e+00,5.000000000000000000e+00
5.712640178671453128e+00,7.000000000000000000e+00
1.979667363468284202e+00,3.000000000000000000e+00
9.780123415918090757e+00,1.100000000000000000e+01
1.568633372284168459e+01,1.800000000000000000e+01
8.317857248192435549e+00,1.000000000000000000e+01
8.311719978366756578e+00,1.000000000000000000e+01
1.884489581135854763e+01,2.500000000000000000e+01
1.551773521323315386e+01,1.800000000000000000e+01
2.979354294769780864e+00,4.000000000000000000e+00
6.145203246074301795e+00,8.000000000000000000e+00
1.044586905720816006e+01,1.300000000000000000e+01
1.051341745262974570e+01,1.200000000000000000e+01
1.058121927437274046e+01,1.300000000000000000e+01
3.812171342866336410e+00,5.000000000000000000e+00
5.648834740264886634e+00,8.000000000000000000e+00
8.546219604114321911e+00,1.200000000000000000e+01
1.924582331888708353e+01,2.100000000000000000e+01
4.851661043952661068e+00,6.000000000000000000e+00
5.645973604704380477e+00,7.000000000000000000e+00
6.113462043390569534e+00,8.000000000000000000e+00
3.879348867144376989e+00,5.000000000000000000e+00
1.195309747801406175e+01,1.400000000000000000e+01
4.912640986066761251e+00,6.000000000000000000e+00
1.171066567385589252e+01,1.400000000000000000e+01
3.384224965706447374e+00,5.000000000000000000e+00
9.752595887187753831e+00,1.300000000000000000e+01
1.688653925443630399e+01,2.200000000000000000e+01
7.285553258318540060e+00,9.000000000000000000e+00
9.153109970695885167e+00,1.200000000000000000e+01
3.779202726624439457e+00,5.000000000000000000e+00
2.781818977544364024e+00,4.000000000000000000e+00
1.904338094089672140e+01,2.500000000000000000e+01
8.930602722811524785e+00,1.100000000000000000e+01
2.879825009203372144e+00,4.000000000000000000e+00
1.313462830304775064e+00,2.000000000000000000e+00
2.013000696801617195e+00,3.000000000000000000e+00
9.212535618661137349e+00,1.100000000000000000e+01
7.999999999999999112e+00,1.100000000000000000e+01
9.619142083776994312e+00,1.100000000000000000e+01
7.786842458232907660e+00,1.200000000000000000e+01
7.612522314746684060e+00,9.000000000000000000e+00
5.145448223791716735e+00,7.000000000000000000e+00
1.278548761233067133e+01,1.600000000000000000e+01
3.745989339652927352e+00,5.000000000000000000e+00
2.564484339062712692e+01,3.400000000000000000e+01
1.351188361220325618e+01,1.600000000000000000e+01
3.165355348925971057e+01,4.000000000000000000e+01
1.354548699023373892e+01,1.500000000000000000e+01
2.781816287867111726e+01,3.600000000000000000e+01
7.552535377372008085e+00,9.000000000000000000e+00
4.879307652733428036e+00,6.000000000000000000e+00
6.611829346394597628e+00,8.000000000000000000e+00
2.521390666229243394e+01,3.200000000000000000e+01
1.180129496971441982e+00,2.000000000000000000e+00
1.139840418853265902e+01,1.400000000000000000e+01
1.152022116717594002e+01,1.500000000000000000e+01
7.845350697019992658e+00,9.000000000000000000e+00
4.446496956153778157e+00,6.000000000000000000e+00
1.118274549361892944e+01,1.400000000000000000e+01
2.941099317214277775e+01,3.700000000000000000e+01
7.644708320789453282e+00,1.000000000000000000e+01
2.704651731947889459e+01,3.400000000000000000e+01
2.628481718123441624e+01,3.600000000000000000e+01
7.379825009203372588e+00,9.000000000000000000e+00
3.198472593452038737e+01,4.000000000000000000e+01
9.230975056560167147e+00,1.100000000000000000e+01
3.979779631764990722e+00,5.000000000000000000e+00
4.829724361621559048e+00,6.000000000000000000e+00
6.283402369567873791e+00,8.000000000000000000e+00
9.179778843053741255e+00,1.100000000000000000e+01
3.185024426400016040e+00,5.000000000000000000e+00
2.981462223022686331e+01,4.000000000000000000e+01
2.996639974043354471e+01,4.000000000000000000e+01
6.697344010061079267e+00,9.000000000000000000e+00
1.091346283054511090e+01,1.500000000000000000e+01
6.513158342536705447e+00,8.000000000000000000e+00
5.483705947488192400e+00,7.000000000000000000e+00
1.737920836559906590e+01,2.300000000000000000e+01
4.879779631764989745e+00,6.000000000000000000e+00
2.351154476592460441e+01,3.100000000000000000e+01
4.133333333333332860e+00,6.000000000000000000e+00
8.614466699954293816e+00,1.100000000000000000e+01
3.301865230649365657e+01,4.000000000000000000e+01
2.218279235152464324e+01,2.900000000000000000e+01
1.698798691313705200e+00,3.000000000000000000e+00
3.059965248151056016e+01,4.000000000000000000e+01
4.913417452866392310e+00,6.000000000000000000e+00
1.928013471776118593e+01,2.600000000000000000e+01
3.746173440222251294e+00,5.000000000000000000e+00
1.211311216429707116e+01,1.400000000000000000e+01
1.434548699032630559e+01,1.700000000000000000e+01
3.164531859311441053e+01,4.000000000000000000e+01
3.753000389507019641e+00,5.000000000000000000e+00
8.547923358199261301e+00,1.100000000000000000e+01
2.778688773025164593e+01,4.000000000000000000e+01
4.913118245382062099e+00,6.000000000000000000e+00
1.841570801037444127e+01,2.500000000000000000e+01
4.579362770141791827e+00,6.000000000000000000e+00
6.966666666666668561e+00,9.000000000000000000e+00
5.414182116695023694e+00,7.000000000000000000e+00
7.520168909952387182e+00,1.000000000000000000e+01
7.446445601497718059e+00,9.000000000000000000e+00
9.915424368317488302e+00,1.100000000000000000e+01
1.106750073715405591e+01,1.400000000000000000e+01
9.066322882541102857e+00,1.200000000000000000e+01
3.041469633468979694e+01,4.000000000000000000e+01
6.577960033104306881e+00,8.000000000000000000e+00
1.912922417219216698e+01,2.400000000000000000e+01
1.004524387482181069e+01,1.200000000000000000e+01
2.807977963176499259e+01,3.200000000000000000e+01
3.077977708211976804e+01,4.000000000000000000e+01
6.218930041152264998e+00,8.000000000000000000e+00
4.678860356980178992e+00,6.000000000000000000e+00
2.034535989449810245e+01,2.600000000000000000e+01
2.711418175164042665e+01,3.600000000000000000e+01
9.735637807894894635e+00,1.300000000000000000e+01
3.155088929155802191e+01,4.000000000000000000e+01
1.287859579791973985e+01,1.600000000000000000e+01
4.046451578715395847e+00,5.000000000000000000e+00
1.358598238177621553e+01,1.800000000000000000e+01
1.261888609132081029e+01,1.600000000000000000e+01
1.877973451741947031e+01,2.300000000000000000e+01
3.021892544572741812e+01,4.000000000000000000e+01
2.965354772670259464e+01,4.000000000000000000e+01
9.866043839164987617e+00,1.200000000000000000e+01
8.578695159261014780e+00,1.100000000000000000e+01
5.619141387774188701e+00,7.000000000000000000e+00
3.171932748628603704e+01,4.000000000000000000e+01
8.611824065622506907e+00,1.000000000000000000e+01
6.397337143890566402e+00,8.000000000000000000e+00
3.105289168133945665e+01,4.000000000000000000e+01
7.313502927459417435e+00,1.000000000000000000e+01
2.666666666666666963e+00,4.000000000000000000e+00
3.065226607233006817e+01,4.000000000000000000e+01
7.866666666666668917e+00,1.000000000000000000e+01
3.157982511465869635e+01,4.000000000000000000e+01
2.948688783570301197e+01,4.000000000000000000e+01
1.538559940380297064e+01,1.900000000000000000e+01
