# Loss,rewards
6.920315623283386230e-01,8.491073137960810646e-01
7.308138608932495117e-01,8.304135329244748398e-01
7.264079451560974121e-01,7.172523343407065655e-01
7.289410829544067383e-01,7.022721026368595743e-01
7.650467157363891602e-01,7.333333333333333925e-01
7.578235268592834473e-01,7.333692904902626708e-01
7.438303232192993164e-01,8.491135495663723054e-01
8.189857006072998047e-01,7.485801116581973780e-01
7.816195487976074219e-01,7.353411395343149026e-01
8.153591156005859375e-01,7.000000000000000666e-01
8.527035713195800781e-01,8.158080995367148480e-01
9.025819301605224609e-01,9.468007480363480610e-01
8.372752666473388672e-01,3.333333333333336063e-02
9.483634233474731445e-01,7.999999999999999334e-01
9.255385994911193848e-01,6.842249657064471968e-01
9.816933274269104004e-01,6.689788706554443687e-01
9.981933832168579102e-01,7.827461887282890496e-01
9.975028038024902344e-01,6.819528588723123841e-01
1.048339962959289551e+00,7.844546974646666726e-01
1.046933412551879883e+00,7.979528819706557252e-01
1.178453207015991211e+00,9.155054549645856854e-01
1.176978349685668945e+00,9.309856291860084676e-01
1.110500931739807129e+00,9.330241706472658381e-01
1.206782579421997070e+00,0.000000000000000000e+00
1.284443497657775879e+00,7.175582990397805228e-01
1.333510637283325195e+00,7.023122039887778056e-01
1.363370537757873535e+00,7.333333333333333925e-01
1.432148694992065430e+00,7.333699845725049071e-01
1.464167356491088867e+00,7.333386002752337873e-01
1.392057895660400391e+00,7.333340286276895936e-01
1.479310274124145508e+00,8.491084591949827898e-01
1.487228155136108398e+00,9.801295090298053347e-01
1.562666296958923340e+00,9.635891589537374236e-01
1.668179631233215332e+00,3.333333333333336063e-02
1.465672612190246582e+00,9.491083676268861069e-01
1.549690008163452148e+00,9.643544626778890461e-01
1.268524646759033203e+00,8.505871446050443652e-01
1.469414710998535156e+00,8.016385161435227724e-01
1.482829332351684570e+00,8.002984091639960829e-01
1.954801201820373535e+00,8.000394010040986492e-01
1.774756312370300293e+00,8.000051887147517915e-01
2.088765621185302734e+00,9.157757175811956918e-01
2.294835090637207031e+00,9.310212193248214030e-01
2.571220397949218750e+00,9.330288574145170211e-01
3.681329011917114258e+00,0.000000000000000000e+00
3.473755836486816406e+00,6.842249657064471968e-01
3.104272842407226562e+00,6.689788706554443687e-01
2.843799352645874023e+00,6.669711544347362020e-01
4.413361549377441406e+00,7.000000000000000666e-01
3.934832572937011719e+00,6.666666666666666297e-01
2.944087028503417969e+00,6.666666666666666297e-01
3.470233678817749023e+00,7.000000000000000666e-01
3.382816076278686523e+00,7.000000000000000666e-01
4.080410003662109375e+00,7.333333333333333925e-01
2.601773262023925781e+00,8.491066053587715823e-01
3.086527109146118164e+00,8.643544608852934408e-01
3.447480678558349609e+00,8.663621789004336549e-01
3.257783412933349609e+00,8.666265695124995005e-01
3.970277309417724609e+00,8.666613863829906172e-01
3.054648637771606445e+00,8.666659713206681381e-01
4.308355808258056641e+00,8.666665750984693384e-01
3.524776458740234375e+00,7.508916203147504298e-01
3.692474126815795898e+00,7.356455357341783463e-01
3.163607835769653320e+00,7.336378208922923472e-01
3.519782304763793945e+00,7.333734304604390131e-01
2.806467056274414062e+00,7.333386136134459887e-01
4.696605682373046875e+00,7.333340286788625484e-01
4.123114585876464844e+00,7.000000000000000666e-01
3.517025709152221680e+00,6.666666666666666297e-01
2.542237520217895508e+00,6.666666666666666297e-01
3.344193935394287109e+00,6.666666666666666297e-01
3.543557405471801758e+00,6.666666666666666297e-01
2.736577033996582031e+00,7.000000000000000666e-01
2.519926309585571289e+00,8.157732852541593749e-01
2.419250249862670898e+00,3.333333333333336063e-02
2.744529247283935547e+00,7.993780516752840848e-01
3.656907558441162109e+00,7.999992252295410333e-01
4.438188552856445312e+00,7.999999992203696841e-01
3.664877414703369141e+00,8.327114281175779231e-01
3.553434848785400391e+00,8.660005413410371000e-01
4.244636058807373047e+00,9.824413461867035346e-01
3.375095844268798828e+00,9.976877960071264262e-01
3.501494407653808594e+00,9.996955122319133302e-01
3.444782733917236328e+00,1.732852167477617888e-01
3.715953111648559570e+00,7.999999999999999334e-01
4.104685783386230469e+00,7.999999999999999334e-01
3.176045417785644531e+00,6.842249657064471968e-01
3.408435821533203125e+00,3.333333333333336063e-02
3.518514871597290039e+00,7.508916323731139597e-01
3.335451602935791016e+00,7.356455373221110206e-01
2.938199281692504883e+00,7.336378211014028539e-01
3.006394863128662109e+00,7.333734304879762078e-01
3.653875350952148438e+00,7.333386136170721992e-01
2.912550449371337891e+00,7.000000000000000666e-01
4.575611114501953125e+00,7.000000000000000666e-01
2.939596176147460938e+00,7.333333333333333925e-01
3.943004846572875977e+00,7.333333333333333925e-01
1.995211482048034668e+00,7.333333333333333925e-01
3.438164710998535156e+00,7.333333333333333925e-01
4.666475296020507812e+00,7.333333333367617612e-01
4.361081600189208984e+00,7.333333333338102333e-01
5.081605911254882812e+00,7.333333333333963422e-01
2.808680057525634766e+00,7.000000000000000666e-01
2.850121021270751953e+00,6.666666666666666297e-01
4.104909420013427734e+00,6.666666666666666297e-01
2.845516443252563477e+00,7.000000000000000666e-01
4.906924724578857422e+00,8.157732994008070060e-01
3.786095619201660156e+00,9.467961629009579161e-01
4.673847675323486328e+00,8.482749406162056749e-01
2.665115118026733398e+00,8.680022361902247630e-01
3.247565746307373047e+00,9.827004672901065163e-01
4.060009479522705078e+00,9.977219175319005373e-01
3.968562841415405273e+00,9.997000056014480052e-01
3.251283168792724609e+00,8.841854602712491129e-01
3.790211439132690430e+00,8.689736682936075596e-01
4.599973678588867188e+00,8.330136120539721745e-01
4.257608413696289062e+00,9.491480388133238799e-01
5.016954421997070312e+00,9.972309896041635646e-01
6.786102294921875000e+00,9.996961003549934555e-01
4.099251747131347656e+00,1.732853263813027012e-01
4.024880409240722656e+00,8.666666666666666963e-01
3.234691143035888672e+00,9.824417009602194328e-01
2.922435283660888672e+00,9.976877960112222610e-01
3.075814247131347656e+00,9.658914644650052894e-01
3.652972221374511719e+00,9.666264583138995947e-01
3.054912328720092773e+00,5.439695582846004740e-02
4.628080368041992188e+00,7.993780516752840848e-01
5.121124744415283203e+00,6.842234274646982195e-01
3.950652122497558594e+00,6.689788646766793301e-01
4.105617523193359375e+00,6.669711544115611845e-01
4.388360500335693359e+00,7.824817981148166623e-01
4.020462036132812500e+00,7.976930762949612230e-01
2.755111694335937500e+00,6.839211732843843983e-01
3.102230787277221680e+00,6.689388650689997995e-01
4.219678878784179688e+00,6.669658862093607032e-01
3.602592468261718750e+00,3.333333333333336063e-02
4.062561035156250000e+00,7.508916323731139597e-01
3.233604669570922852e+00,7.356455373221110206e-01
4.141922473907470703e+00,7.336378211014028539e-01
3.254871368408203125e+00,8.491484647815289444e-01
3.316152334213256836e+00,8.304166207048826465e-01
3.062234401702880859e+00,3.333333333333336063e-02
4.830180168151855469e+00,6.842249657064471968e-01
4.377636909484863281e+00,6.689788706554443687e-01
4.117235660552978516e+00,6.669711544347362020e-01
5.391764640808105469e+00,6.667067638213096670e-01
3.701853036880493164e+00,7.824469812439586169e-01
2.794920444488525391e+00,8.304120602805530327e-01
4.643015861511230469e+00,1.990318146822587231e-01
3.394944429397583008e+00,8.327113850086175217e-01
4.678472995758056641e+00,8.333325585628742482e-01
3.485183238983154297e+00,0.000000000000000000e+00
4.354617118835449219e+00,8.660447183419508477e-01
3.163449048995971680e+00,8.666658918962076852e-01
3.307042837142944336e+00,8.666666658870362250e-01
3.155992507934570312e+00,8.666666666659024187e-01
3.126943588256835938e+00,9.824417009602189887e-01
3.358462810516357422e+00,9.976877960112222610e-01
4.795421600341796875e+00,9.996955122319305387e-01
3.890891075134277344e+00,9.661547374453459680e-01
4.635446548461914062e+00,9.995368539598349367e-01
3.123415231704711914e+00,3.333325251866998684e-01
3.452417135238647461e+00,8.333333333333333703e-01
3.367563962936401367e+00,7.175582990397805228e-01
6.713399887084960938e+00,7.023122039887778056e-01
6.296903133392333984e+00,7.333333333333333925e-01
5.852615833282470703e+00,7.333699845725049071e-01
6.498502731323242188e+00,7.333386002752337873e-01
3.265735149383544922e+00,7.333340286276895936e-01
6.146280288696289062e+00,7.333334249013317985e-01
5.603330612182617188e+00,8.491083796852493260e-01
5.556314468383789062e+00,8.643544642658215205e-01
5.381646156311035156e+00,8.663621791077077416e-01
6.524844169616699219e+00,7.508515352460082282e-01
6.101306438446044922e+00,7.356402570419983133e-01
5.744906425476074219e+00,7.336371257558735870e-01
5.956232070922851562e+00,7.333733389198405783e-01
4.600770473480224609e+00,7.333386015587169959e-01
3.585305452346801758e+00,7.333340270914084913e-01
2.763314723968505859e+00,7.333334246924213540e-01
4.116539001464843750e+00,8.491083796577125753e-01
5.160696029663085938e+00,8.643544642621954210e-01
4.085128784179687500e+00,7.505871448136772761e-01
3.225825786590576172e+00,7.356054401949424504e-01
3.596317291259765625e+00,7.336325408212819310e-01
2.621257781982421875e+00,8.491477694359987893e-01
3.328781366348266602e+00,8.643596513934923564e-01
2.836762666702270508e+00,8.663628621862485835e-01
3.534401655197143555e+00,8.326715857671391774e-01
3.260969161987304688e+00,8.660820531193046401e-01
2.275780200958251953e+00,7.508894956484732930e-01
3.333343029022216797e+00,7.356454403502717954e-01
3.715641021728515625e+00,7.000000000000000666e-01
1.756492853164672852e+00,7.000366507220435741e-01
4.015161514282226562e+00,7.000052667373909410e-01
2.728149175643920898e+00,7.333333333333333925e-01
2.832419872283935547e+00,7.333333333333333925e-01
1.737392425537109375e+00,7.333333333333333925e-01
2.453307628631591797e+00,7.333333348697105292e-01
2.127740859985351562e+00,7.333333335422361765e-01
3.327861309051513672e+00,7.333333333608686999e-01
2.208549976348876953e+00,8.491083676305123396e-01
1.896674275398254395e+00,6.842249657064471968e-01
2.548277854919433594e+00,6.689788706554443687e-01
3.104944229125976562e+00,7.827461887282890496e-01
2.320269823074340820e+00,7.977278931658652317e-01
1.615226745605468750e+00,6.839257582221166532e-01
2.484283447265625000e+00,6.689394688468083272e-01
2.274836063385009766e+00,6.669659657191956414e-01
1.614376544952392578e+00,6.667060805336664231e-01
1.607871532440185547e+00,6.666718569701398645e-01
1.446572780609130859e+00,7.000000000000000666e-01
1.849260687828063965e+00,7.000000000000000666e-01
1.297510385513305664e+00,7.000000000000000666e-01
1.439551949501037598e+00,8.157750358282384040e-01
1.717032670974731445e+00,8.310211295500757878e-01
1.249068021774291992e+00,7.172538112987788539e-01
1.352339982986450195e+00,7.022721068376992504e-01
1.433887004852294922e+00,7.333333333333333925e-01
1.686786174774169922e+00,7.333692893793157808e-01
2.316099405288696289e+00,7.000000000000000666e-01
2.161358356475830078e+00,7.333333333333333925e-01
2.182583808898925781e+00,7.333333333333333925e-01
2.128934860229492188e+00,7.333333334590097508e-01
3.480217695236206055e+00,7.333333348483431768e-01
1.999232649803161621e+00,8.491083678322811634e-01
1.998577594757080078e+00,8.643544627049486451e-01
1.913766384124755859e+00,6.666666666666665186e-02
1.229984521865844727e+00,7.993780516752840848e-01
2.067487239837646484e+00,6.842234274646982195e-01
3.381145477294921875e+00,6.689788646766793301e-01
1.728338956832885742e+00,7.000000000000000666e-01
1.625323772430419922e+00,6.666666666666666297e-01
1.697486639022827148e+00,6.666689198479857081e-01
2.293604850769042969e+00,7.000000000000000666e-01
2.171650409698486328e+00,7.333333333333333925e-01
2.289309740066528320e+00,7.333333333333333925e-01
1.903242468833923340e+00,7.333333333333333925e-01
1.605497121810913086e+00,7.333333334844063245e-01
1.414506793022155762e+00,7.333333333606457671e-01
2.278360366821289062e+00,8.491083676305120065e-01
1.503292322158813477e+00,8.304113686857935717e-01
2.404875278472900391e+00,7.990317238204266426e-01
2.552241086959838867e+00,0.000000000000000000e+00
1.759776353836059570e+00,8.327113850086175217e-01
1.550771117210388184e+00,8.333325585628742482e-01
2.203011274337768555e+00,7.175582974517545898e-01
1.806209802627563477e+00,6.680888520434362654e-01
1.726741671562194824e+00,7.827444043519290462e-01
2.113412857055664062e+00,8.304533462590324433e-01
2.496733665466308594e+00,0.000000000000000000e+00
1.692160844802856445e+00,6.842249657064471968e-01
1.917853355407714844e+00,6.689788706554443687e-01
2.088717222213745117e+00,6.669711544347362020e-01
2.538579225540161133e+00,6.667067638213096670e-01
1.889730930328369141e+00,6.666719469504056583e-01
2.800405263900756836e+00,6.666673620126735145e-01
2.403026103973388672e+00,7.000000000000000666e-01
1.981688857078552246e+00,7.000000000000000666e-01
2.068013906478881836e+00,7.000000000000000666e-01
2.102831363677978516e+00,7.000000001575933384e-01
2.349662542343139648e+00,7.000000000273377543e-01
2.491824150085449219e+00,7.000000000036256109e-01
1.514914751052856445e+00,7.000000000004775735e-01
2.660588264465332031e+00,7.000000000000629052e-01
2.349101543426513672e+00,7.000000000000081712e-01
2.452277183532714844e+00,7.000000000000010658e-01
2.418494701385498047e+00,7.000000000000000666e-01
2.637066602706909180e+00,7.000000000000000666e-01
3.040942192077636719e+00,7.000000000000000666e-01
2.999929428100585938e+00,7.000000000000000666e-01
2.615288734436035156e+00,8.157750342935528032e-01
2.203869342803955078e+00,8.637447019856736574e-01
2.877344131469726562e+00,9.821368903151922458e-01
2.520841598510742188e+00,6.666666666666665186e-02
2.453967332839965820e+00,7.999999999999999334e-01
2.589244365692138672e+00,9.157750342935528920e-01
2.677013635635375977e+00,9.310211293445557201e-01
2.003416061401367188e+00,9.658914644650052894e-01
2.826889038085937500e+00,8.508512393415895714e-01
2.236372947692871094e+00,8.683390117920722906e-01
2.580951452255249023e+00,8.669696595212229573e-01
1.975334167480468750e+00,1.660859151456103022e-01
2.087012290954589844e+00,6.842249657064471968e-01
2.083268880844116211e+00,7.847539049489972163e-01
2.484304189682006836e+00,7.979922837792918777e-01
1.830665349960327148e+00,8.324483704402059203e-01
2.216580152511596680e+00,8.659659897891529567e-01
1.789344310760498047e+00,7.508854116693401970e-01
2.062219619750976562e+00,7.356449271873581885e-01
2.486630916595458984e+00,7.336377415669272928e-01
2.229537487030029297e+00,7.333734200174499840e-01
1.757584095001220703e+00,7.333386122382498096e-01
2.873047351837158203e+00,7.333340284977668544e-01
1.982803463935852051e+00,3.333333333333336063e-02
1.929289937019348145e+00,9.824417009602194328e-01
2.120556116104125977e+00,3.310211293445555758e-01
2.426281452178955078e+00,7.999999999999999334e-01
1.610706686973571777e+00,6.842249657064471968e-01
2.520866870880126953e+00,6.689788706554443687e-01
3.693677902221679688e+00,7.827461887282890496e-01
2.264314174652099609e+00,6.819528588723123841e-01
2.777965307235717773e+00,6.686796631711139360e-01
3.299489736557006836e+00,7.000000000000000666e-01
2.283798217773437500e+00,8.158081895322392141e-01
2.937906265258789062e+00,7.970846834059753805e-01
2.269818305969238281e+00,6.839195942330742461e-01
2.393321990966796875e+00,6.689388474342172763e-01
1.889497756958007812e+00,3.333333333333336063e-02
2.299843788146972656e+00,6.842249657064471968e-01
