# returns,episode_length
5.114523816132385825e+00,7.000000000000000000e+00
7.279307813295783802e+00,9.000000000000000000e+00
1.271457755746286722e+01,1.800000000000000000e+01
6.979306843921469827e+00,8.000000000000000000e+00
7.433170428005436925e+00,1.100000000000000000e+01
1.004703135474111697e+01,1.400000000000000000e+01
5.912640325734789037e+00,7.000000000000000000e+00
1.265191012214726562e+01,1.500000000000000000e+01
7.784607264617510403e+00,1.000000000000000000e+01
4.913118245382062099e+00,6.000000000000000000e+00
7.769289439476865233e+00,1.200000000000000000e+01
3.746451578715396025e+00,5.000000000000000000e+00
6.785488505036879836e+00,8.000000000000000000e+00
2.714486604501928912e+00,4.000000000000000000e+00
1.069740037325667181e+01,1.300000000000000000e+01
5.113112269752316585e+00,6.000000000000000000e+00
3.179825009203371966e+00,4.000000000000000000e+00
6.968706043853902798e+00,1.100000000000000000e+01
8.012524861673540499e+00,1.000000000000000000e+01
3.347906331176865979e+00,5.000000000000000000e+00
2.915775034293552892e+00,4.000000000000000000e+00
6.013112269752316941e+00,7.000000000000000000e+00
1.378160664380493650e+01,1.900000000000000000e+01
7.979825718195675321e+00,1.100000000000000000e+01
7.179406910349178439e+00,1.000000000000000000e+01
8.745857284256722153e+00,1.100000000000000000e+01
2.156927973987055225e+01,3.000000000000000000e+01
7.251199116757315544e+00,9.000000000000000000e+00
2.317558299039780501e+00,4.000000000000000000e+00
2.511805592687656841e+01,3.200000000000000000e+01
4.833711042245473877e+00,6.000000000000000000e+00
6.452885630534079375e+00,1.000000000000000000e+01
3.933073409616372640e+00,6.000000000000000000e+00
4.498772610824708806e+00,7.000000000000000000e+00
1.666043943571491770e+00,3.000000000000000000e+00
8.744893068586350182e+00,1.000000000000000000e+01
3.070084365595053555e+01,4.000000000000000000e+01
1.833337458695332955e+01,2.600000000000000000e+01
1.103113405731309804e+01,1.600000000000000000e+01
4.664888843677644559e+00,7.000000000000000000e+00
1.654854435703120430e+01,2.400000000000000000e+01
6.364933453903608651e+00,8.000000000000000000e+00
8.418932989174519932e+00,1.200000000000000000e+01
1.313462830304775064e+00,2.000000000000000000e+00
7.985667195072446489e+00,1.200000000000000000e+01
2.802018107002229996e+01,4.000000000000000000e+01
2.888351960486571812e+01,4.000000000000000000e+01
1.213000696801617373e+00,2.000000000000000000e+00
2.658374750694276756e+01,3.700000000000000000e+01
1.750239502466092034e+01,2.400000000000000000e+01
3.088552522339529460e+01,4.000000000000000000e+01
2.919946822648286400e+01,4.000000000000000000e+01
2.845165878975817719e+01,4.000000000000000000e+01
2.766362178898597257e+00,4.000000000000000000e+00
2.845085416697478209e+01,4.000000000000000000e+01
2.935230991361554231e+01,4.000000000000000000e+01
2.798278637927989365e+01,4.000000000000000000e+01
1.148658334586952989e+01,1.600000000000000000e+01
2.315288485762821580e+01,3.200000000000000000e+01
2.836550195996794344e+01,3.800000000000000000e+01
3.065289045931239542e+01,4.000000000000000000e+01
2.895192812221708323e+01,4.000000000000000000e+01
2.172022115695043354e+01,3.000000000000000000e+01
3.953503043846221754e+00,6.000000000000000000e+00
9.020221169035785636e+00,1.300000000000000000e+01
8.986887140352342485e+00,1.300000000000000000e+01
2.818654380944737881e+01,4.000000000000000000e+01
2.941712199063959332e+01,4.000000000000000000e+01
8.586497072540582920e+00,1.100000000000000000e+01
2.718688783567601064e+01,4.000000000000000000e+01
2.969906094795725338e+01,4.000000000000000000e+01
2.968626511182790040e+01,4.000000000000000000e+01
2.946724092203003664e+01,4.000000000000000000e+01
3.184840162655111939e+01,4.000000000000000000e+01
2.448271945750887113e+01,3.400000000000000000e+01
2.264802320023565230e+01,3.000000000000000000e+01
1.476547055905496109e+01,2.100000000000000000e+01
2.131453310996621298e+01,3.000000000000000000e+01
2.708688783567546565e+01,4.000000000000000000e+01
1.528544504646473889e+01,2.000000000000000000e+01
3.999999999999999556e+00,6.000000000000000000e+00
4.486887730247683059e+00,7.000000000000000000e+00
2.708688704897990718e+01,4.000000000000000000e+01
2.983294035962386559e+01,3.800000000000000000e+01
2.825328146500066850e+01,4.000000000000000000e+01
1.765378591649179096e+00,3.000000000000000000e+00
9.053548421284606462e+00,1.200000000000000000e+01
1.765040603450110046e+00,3.000000000000000000e+00
2.074879629669340630e+01,2.600000000000000000e+01
2.833333939201875395e+01,3.400000000000000000e+01
3.021689814610732228e+01,4.000000000000000000e+01
1.021975875155709268e+01,1.400000000000000000e+01
2.795109796665451540e+01,4.000000000000000000e+01
4.349412855394955812e+00,6.000000000000000000e+00
5.179157349186057857e+00,6.000000000000000000e+00
1.866516929205677400e+01,2.500000000000000000e+01
1.213272507384007604e+01,1.700000000000000000e+01
3.168283570875264843e+01,4.000000000000000000e+01
2.650115325892224050e+01,3.900000000000000000e+01
4.064842723254202816e+00,6.000000000000000000e+00
2.226438817923018831e+01,2.800000000000000000e+01
3.161803032288556636e+01,4.000000000000000000e+01
7.830829772259885857e+00,1.000000000000000000e+01
2.852884831561556034e+00,5.000000000000000000e+00
2.004991563291322620e+01,2.400000000000000000e+01
1.866253994999300403e+01,2.200000000000000000e+01
6.552535389430371282e+00,8.000000000000000000e+00
2.909690796287283021e+01,4.000000000000000000e+01
6.414296826335259993e+00,9.000000000000000000e+00
3.068688254336090182e+01,4.000000000000000000e+01
1.024929263396506585e+01,1.200000000000000000e+01
3.040114029245371086e+01,4.000000000000000000e+01
2.858559759856339610e+01,4.000000000000000000e+01
2.811715816761216757e+01,4.000000000000000000e+01
2.868284978956499742e+01,4.000000000000000000e+01
6.464263888102655287e+00,9.000000000000000000e+00
2.891902177090693016e+01,4.000000000000000000e+01
2.812022116903634483e+01,4.000000000000000000e+01
2.973017208388897359e+01,4.000000000000000000e+01
2.801932748628249215e+01,4.000000000000000000e+01
3.038314371780628065e+01,4.000000000000000000e+01
1.456596987447056790e+01,1.700000000000000000e+01
1.212935008893266442e+01,1.600000000000000000e+01
1.543599618944645790e+01,2.000000000000000000e+01
2.945227931849059999e+01,4.000000000000000000e+01
1.298599404749801955e+01,1.900000000000000000e+01
3.095136535752824258e+01,4.000000000000000000e+01
1.511933329925716407e+01,1.900000000000000000e+01
5.745163148919659513e+00,7.000000000000000000e+00
