# actor_loss, critic_loss
-2.894555926322937012e-01,2.476380169391632080e-01
-2.892283797264099121e-01,2.088307589292526245e-01
-2.189987599849700928e-01,1.850775182247161865e-01
-2.533502876758575439e-01,2.045045942068099976e-01
-1.995763927698135376e-01,2.216189950704574585e-01
-2.243074178695678711e-01,1.815757155418395996e-01
-1.281161308288574219e-01,2.275815159082412720e-01
-1.796739399433135986e-01,1.899871230125427246e-01
-2.300427109003067017e-01,2.091673314571380615e-01
-1.627929806709289551e-01,2.227610647678375244e-01
-1.732015013694763184e-01,1.131138652563095093e-01
-1.475567221641540527e-01,1.582588851451873779e-01
-1.214525774121284485e-01,1.475935280323028564e-01
-6.469424068927764893e-02,1.250278055667877197e-01
-1.475728750228881836e-01,8.410312235355377197e-02
-4.672830551862716675e-02,7.957464456558227539e-02
-1.562105268239974976e-01,1.163499429821968079e-01
-1.358619928359985352e-01,1.454119980335235596e-01
-8.941069990396499634e-02,1.099376827478408813e-01
-1.455234438180923462e-01,1.184181421995162964e-01
-1.170866191387176514e-01,8.020971715450286865e-02
-1.828621327877044678e-01,9.620702266693115234e-02
-9.430427849292755127e-02,9.570549428462982178e-02
-1.296651065349578857e-01,1.008989885449409485e-01
-1.205208003520965576e-01,6.418466567993164062e-02
-1.253007203340530396e-01,9.533774852752685547e-02
-9.838012605905532837e-02,7.773789763450622559e-02
-9.813909232616424561e-02,6.697519123554229736e-02
-4.603171721100807190e-02,5.817512422800064087e-02
-8.015356957912445068e-02,1.302769035100936890e-01
-3.281518071889877319e-02,8.530627191066741943e-02
-9.425934404134750366e-02,6.859805434942245483e-02
-7.459113746881484985e-02,5.539043247699737549e-02
-7.581296563148498535e-02,4.852385073900222778e-02
-9.236835688352584839e-02,4.656544700264930725e-02
-4.633833840489387512e-02,4.763449728488922119e-02
-2.428498119115829468e-03,6.004287302494049072e-02
-8.663471788167953491e-02,4.598367586731910706e-02
-5.022993683815002441e-02,4.634380340576171875e-02
-5.910556763410568237e-02,4.372701048851013184e-02
-1.152245327830314636e-01,8.899913728237152100e-02
-5.963974073529243469e-02,5.729398131370544434e-02
-1.051569059491157532e-01,4.591147601604461670e-02
-6.895746290683746338e-02,5.279491841793060303e-02
2.006758376955986023e-02,6.202320754528045654e-02
-6.283625960350036621e-02,5.835408717393875122e-02
-6.804105639457702637e-02,6.543992459774017334e-02
-1.622906923294067383e-01,3.330785781145095825e-02
-5.621236190199851990e-02,4.023800045251846313e-02
-8.300004899501800537e-02,5.158981308341026306e-02
-9.625335782766342163e-02,9.483260661363601685e-02
-1.158488914370536804e-01,7.889588177204132080e-02
-4.012065380811691284e-02,7.563930749893188477e-02
-9.363919496536254883e-02,5.435637012124061584e-02
-2.594746649265289307e-02,5.252317339181900024e-02
-8.008915185928344727e-02,6.257641315460205078e-02
-1.852147839963436127e-02,9.215665608644485474e-02
-6.476581096649169922e-02,5.765907466411590576e-02
-6.382591277360916138e-02,3.841331601142883301e-02
-4.446854069828987122e-02,4.265765100717544556e-02
-1.133615151047706604e-01,4.847686737775802612e-02
-7.372638583183288574e-02,7.047301530838012695e-02
-1.198235377669334412e-01,6.536071002483367920e-02
-8.585324883460998535e-02,5.482073873281478882e-02
-1.199531629681587219e-01,4.035914689302444458e-02
-6.484143435955047607e-02,5.959427356719970703e-02
-7.686258852481842041e-02,4.845497757196426392e-02
3.884501382708549500e-02,6.731848418712615967e-02
-5.003114417195320129e-02,3.480856865644454956e-02
-5.959005653858184814e-02,4.104084521532058716e-02
-1.558098495006561279e-01,2.846454083919525146e-02
-2.894894406199455261e-02,6.660369783639907837e-02
-1.080138981342315674e-01,6.652545928955078125e-02
-8.568979799747467041e-02,5.402263626456260681e-02
-7.926227152347564697e-02,4.631508886814117432e-02
-6.591307371854782104e-02,2.982858940958976746e-02
-8.290953189134597778e-02,4.793147742748260498e-02
-3.822068125009536743e-02,5.039876699447631836e-02
-5.426027625799179077e-02,4.071602225303649902e-02
4.602689296007156372e-02,6.585884094238281250e-02
-6.717170774936676025e-02,4.272085428237915039e-02
-3.444112092256546021e-02,3.397534787654876709e-02
-1.136603876948356628e-01,4.960388690233230591e-02
-7.485150545835494995e-02,2.571405470371246338e-02
-4.840920865535736084e-02,3.678919374942779541e-02
-1.369880586862564087e-01,2.749272249639034271e-02
-6.277762353420257568e-02,3.743068128824234009e-02
-2.666158601641654968e-02,4.013451561331748962e-02
-2.946199849247932434e-02,3.990958631038665771e-02
-9.542639553546905518e-02,2.496896125376224518e-02
-8.382941782474517822e-02,2.164484001696109772e-02
1.833732798695564270e-02,3.134781122207641602e-02
-2.990870550274848938e-02,3.095010481774806976e-02
-1.396920904517173767e-02,4.076718538999557495e-02
4.961993079632520676e-03,5.048826336860656738e-02
-3.819733858108520508e-03,2.083474583923816681e-02
-9.152945876121520996e-02,2.325865067541599274e-02
-5.282807722687721252e-02,2.208740636706352234e-02
-7.142491638660430908e-02,2.554104663431644440e-02
-2.976923948153853416e-03,4.957879707217216492e-02
-6.357728689908981323e-02,5.522974580526351929e-02
-2.406736463308334351e-02,1.647648401558399200e-02
-2.699193172156810760e-02,1.558061130344867706e-02
1.418486982583999634e-02,1.786067336797714233e-02
4.021559283137321472e-02,3.378703072667121887e-02
7.090624421834945679e-04,2.073862031102180481e-02
-5.953041464090347290e-02,3.255090489983558655e-02
-2.824306674301624298e-02,1.417666021734476089e-02
3.221726790070533752e-02,1.602235063910484314e-02
-1.483473554253578186e-02,8.613691665232181549e-03
-3.859262913465499878e-02,3.956855461001396179e-02
-4.455556720495223999e-02,4.765200242400169373e-02
-1.099529210478067398e-02,4.257661849260330200e-02
-3.571736067533493042e-02,5.285691097378730774e-02
-3.807483240962028503e-02,4.239696264266967773e-02
-3.731914982199668884e-02,4.246936365962028503e-02
-2.864775620400905609e-02,3.061410039663314819e-02
-4.754244536161422729e-02,3.501363471150398254e-02
-3.416851907968521118e-02,4.054204747080802917e-02
-2.741844952106475830e-02,4.101121425628662109e-02
