# actor_loss, critic_loss ,rewards
-6.793879866600036621e-01,4.615680277347564697e-01,6.842249657064471968e-01
-6.744015812873840332e-01,4.548423588275909424e-01,6.689788706554443687e-01
-6.696843504905700684e-01,4.485381841659545898e-01,6.669711544347362020e-01
-6.671190261840820312e-01,4.451133608818054199e-01,6.667067638213096670e-01
-6.703020930290222168e-01,4.493978023529052734e-01,7.000000000000000666e-01
-6.935261487960815430e-01,4.837526679039001465e-01,8.157739804627478497e-01
-7.086874246597290039e-01,5.059949755668640137e-01,7.970801995911415139e-01
-7.194847464561462402e-01,5.217618942260742188e-01,7.996947756948831199e-01
-7.152113318443298340e-01,5.153210163116455078e-01,6.841848686072317109e-01
-7.213280797004699707e-01,5.240653157234191895e-01,7.847486248713363421e-01
-7.274999618530273438e-01,5.330472588539123535e-01,7.979915884608189680e-01
-7.331144213676452637e-01,5.412784814834594727e-01,7.997355178220013627e-01
-7.378793358802795410e-01,5.482662320137023926e-01,7.999651710712100128e-01
-7.439706325531005859e-01,5.575035810470581055e-01,8.327068223158562432e-01
-7.497425675392150879e-01,5.663239955902099609e-01,8.333319546234548847e-01
-7.090043425559997559e-01,5.315281152725219727e-01,1.189299442081776376e-01
-7.209317088127136230e-01,5.491632819175720215e-01,9.157750342935528920e-01
-7.261097431182861328e-01,5.554773211479187012e-01,8.152460950510027615e-01
-7.299196124076843262e-01,5.597996115684509277e-01,8.020077162207082111e-01
-7.389651536941528320e-01,5.732901692390441895e-01,9.160394249069794270e-01
-7.026037573814392090e-01,5.460194945335388184e-01,0.000000000000000000e+00
-7.067465782165527344e-01,5.498381853103637695e-01,7.999999999999999334e-01
-7.154361009597778320e-01,5.616685152053833008e-01,9.157750342935528920e-01
-7.194732427597045898e-01,5.657604932785034180e-01,8.152460950510027615e-01
-7.225725650787353516e-01,5.685356259346008301e-01,8.020077162207082111e-01
-7.250521779060363770e-01,5.704934000968933105e-01,8.002643906134266905e-01
-7.276944518089294434e-01,5.728544592857360840e-01,8.000348168709038310e-01
-7.301431894302368164e-01,5.750392079353332520e-01,8.000045849377320772e-01
-7.335451245307922363e-01,5.788967609405517578e-01,8.327119856491429495e-01
-7.367179989814758301e-01,5.824934840202331543e-01,8.333326380664572985e-01
-7.388142943382263184e-01,5.844364762306213379e-01,7.993794380224500395e-01
-7.441015243530273438e-01,5.919376611709594727e-01,9.157747020523969717e-01
-7.505146861076354980e-01,6.016797423362731934e-01,9.638924103343488037e-01
-7.567511796951293945e-01,6.112337708473205566e-01,9.663620732789369727e-01
-7.430183291435241699e-01,5.959480404853820801e-01,2.999599028476225837e-01
-7.453977465629577637e-01,5.984690189361572266e-01,8.327113850086175217e-01
-7.509932518005371094e-01,6.068110466003417969e-01,9.491080333766447330e-01
-7.575843334197998047e-01,6.172348856925964355e-01,9.972257435242107837e-01
-7.635855078697204590e-01,6.266217827796936035e-01,9.996954065882706075e-01
-7.695507407188415527e-01,6.360660791397094727e-01,9.999599028444737803e-01
-7.751377820968627930e-01,6.448754072189331055e-01,9.999947197162500911e-01
-7.804679870605468750e-01,6.532833576202392578e-01,9.999993046539931152e-01
-7.854094505310058594e-01,6.610198020935058594e-01,9.999999084318016429e-01
-7.876143455505371094e-01,6.636937856674194336e-01,8.842249536480837335e-01
