# returns,episode_length
3.136780576285472577e+00,6.000000000000000000e+00
3.137010446155052534e+00,5.000000000000000000e+00
5.597359935018515031e+00,7.000000000000000000e+00
8.803362179516835084e+00,1.300000000000000000e+01
3.014265105850541637e+00,4.000000000000000000e+00
1.019444924240346140e+01,1.500000000000000000e+01
1.998126016169025521e+00,3.000000000000000000e+00
3.026133693977139938e+00,4.000000000000000000e+00
1.672318040681806295e+01,2.300000000000000000e+01
9.113794270261545094e+00,1.300000000000000000e+01
5.637187344117323917e+00,7.000000000000000000e+00
6.747601327293395457e+00,8.000000000000000000e+00
3.609911071972241814e+00,5.000000000000000000e+00
1.986106961400371684e+00,3.000000000000000000e+00
6.025486012328886254e+00,8.000000000000000000e+00
4.166958566820328613e+00,7.000000000000000000e+00
2.250444044661768395e+00,4.000000000000000000e+00
8.029445678520726659e+00,1.300000000000000000e+01
1.010853604443875042e+01,1.700000000000000000e+01
3.445823312004747230e+00,6.000000000000000000e+00
5.998406557307809805e+00,8.000000000000000000e+00
2.445708231141085598e+00,4.000000000000000000e+00
4.362370793578602246e+00,8.000000000000000000e+00
3.999608852446066454e+00,7.000000000000000000e+00
7.528479503797089301e+00,1.200000000000000000e+01
1.960622434972831840e+01,2.800000000000000000e+01
1.761836650378253877e+00,3.000000000000000000e+00
1.098299631441009083e+01,1.400000000000000000e+01
4.413441106836986982e+00,6.000000000000000000e+00
1.005086656205916640e+01,1.200000000000000000e+01
1.363718392829873416e+01,2.200000000000000000e+01
7.108585718792690855e+00,9.000000000000000000e+00
1.369495276085376645e+01,1.600000000000000000e+01
4.969900637589355519e+00,7.000000000000000000e+00
1.532994018829154115e+01,2.400000000000000000e+01
5.860601024555326610e+00,8.000000000000000000e+00
2.556819342252196758e+00,4.000000000000000000e+00
1.819393823568293556e+01,2.600000000000000000e+01
4.582427338613545231e+00,7.000000000000000000e+00
1.782878166843591927e+01,2.100000000000000000e+01
4.641002338883133405e+00,6.000000000000000000e+00
5.597362389573532937e+00,7.000000000000000000e+00
2.352509009099975756e+01,3.700000000000000000e+01
2.831015150901224686e+00,4.000000000000000000e+00
3.249091861014794524e+00,5.000000000000000000e+00
1.352311760846412625e+01,1.700000000000000000e+01
9.495966272060325508e+00,1.400000000000000000e+01
1.720470313721375710e+00,3.000000000000000000e+00
9.440093067037226504e+00,1.500000000000000000e+01
1.085786688469700856e+01,1.700000000000000000e+01
3.829886835601544526e+00,6.000000000000000000e+00
1.496918823745807758e+00,3.000000000000000000e+00
4.359237127280136903e+00,6.000000000000000000e+00
1.410980471967959815e+01,2.000000000000000000e+01
1.341365934543211758e+01,1.900000000000000000e+01
7.136716981502730484e+00,1.100000000000000000e+01
1.835505258344764634e+00,3.000000000000000000e+00
1.803646981413531947e+01,2.400000000000000000e+01
9.305617718180478448e+00,1.500000000000000000e+01
2.144146996742438560e+01,3.000000000000000000e+01
6.249355748613549366e+00,1.000000000000000000e+01
4.273182088785394406e+00,6.000000000000000000e+00
4.028475066813051342e+00,7.000000000000000000e+00
2.081459349502359224e+00,3.000000000000000000e+00
1.942570460613470162e+00,3.000000000000000000e+00
2.774996180295738579e+00,4.000000000000000000e+00
1.974927104284243384e+01,2.900000000000000000e+01
2.527519386309565874e+01,4.000000000000000000e+01
1.207985268014917146e+01,1.900000000000000000e+01
1.060725408662842995e+01,1.600000000000000000e+01
8.247222146201526272e+00,1.200000000000000000e+01
1.049999113210743928e+01,1.300000000000000000e+01
7.136498262095335221e+00,1.000000000000000000e+01
4.692741885626618981e+00,6.000000000000000000e+00
7.164921173067023474e+00,1.200000000000000000e+01
3.443605883383350275e+00,6.000000000000000000e+00
8.639552293175844611e+00,1.400000000000000000e+01
1.493717698830480423e+01,2.100000000000000000e+01
2.735033995979931909e+00,4.000000000000000000e+00
4.665467641574057467e+00,7.000000000000000000e+00
2.442692535943597587e+00,4.000000000000000000e+00
2.330152159727307648e+01,3.400000000000000000e+01
6.773633721262651619e+00,8.000000000000000000e+00
1.970348238391247842e+00,3.000000000000000000e+00
8.300576218401740647e+00,1.200000000000000000e+01
8.586308546419175514e+00,1.500000000000000000e+01
1.526869639930647837e+00,3.000000000000000000e+00
7.636570385013979667e+00,1.200000000000000000e+01
2.945818127222793237e+00,5.000000000000000000e+00
1.914792682835692483e+00,3.000000000000000000e+00
3.914276019418274632e+00,5.000000000000000000e+00
2.969237692692948460e+00,4.000000000000000000e+00
1.829961369183032760e+00,3.000000000000000000e+00
1.637981880915344801e+00,3.000000000000000000e+00
1.194575506620860672e+01,1.900000000000000000e+01
3.151725831887637330e+00,4.000000000000000000e+00
5.053447377431480092e+00,7.000000000000000000e+00
1.620666097007860174e+01,2.400000000000000000e+01
4.777824039689907210e+00,8.000000000000000000e+00
3.608792928679002365e+00,5.000000000000000000e+00
2.611404076009756992e+00,4.000000000000000000e+00
5.272737570005101126e+00,7.000000000000000000e+00
3.080178598452381511e+00,5.000000000000000000e+00
3.484292547585278843e+00,5.000000000000000000e+00
3.248247029548144926e+00,5.000000000000000000e+00
1.819440294733705166e+00,3.000000000000000000e+00
5.523778146628346875e+00,9.000000000000000000e+00
1.807727480566986955e+00,3.000000000000000000e+00
1.013880414471528724e+01,1.500000000000000000e+01
2.414787022806571315e+00,4.000000000000000000e+00
5.808993705456886758e+00,1.000000000000000000e+01
3.164787022806571315e+00,5.000000000000000000e+00
4.471030897543398552e+00,7.000000000000000000e+00
5.887990875833461146e+00,9.000000000000000000e+00
2.474793428511878446e+00,5.000000000000000000e+00
1.028165788481970822e+01,1.800000000000000000e+01
1.852650837754347179e+01,3.100000000000000000e+01
5.084977568256040747e+00,9.000000000000000000e+00
7.384888149303438176e+00,9.000000000000000000e+00
